Site,Basin,Taxon,Shoot.reduction,Shoot.red.per.,Crust.biomass,RespRaCrust,Epiphyte.biomass,RespRaEpi,Calc.shoot.dens,RespRaShoots,Odds,log.Odds
BB,P,crab,Amb,0% loss,0.150596006,0.537430014,0.33799409,-0.018871947,287.4785714,0.227301561,0.39,-0.408935393
CR,A,shrimp,Amb,0% loss,0.001171616,0.21133376,0.178746256,0.831971784,41.082,-0.129458067,1.25,0.096910013
FI,A,shrimp,Amb,0% loss,0.024635873,-0.394971845,0.248737534,-0.22368763,159.8428571,0.249450495,0.29,-0.537602002
FR,A,shrimp,Amb,0% loss,0.099958325,0.31642581,0.084084812,0.64627339,1924.476797,0.476627392,0.5,-0.301029996
NI,A,crab,Amb,0% loss,0,0,0.380229734,0.102901861,128.3370412,1.018931529,0.75,-0.124938737
JN,P,shrimp,Amb,0% loss,0.002199554,-1.06488725,0.205144916,-0.293253997,232.2320026,0.0930257,1.5,0.176091259
JS,P,shrimp,Amb,0% loss,0.001469965,-2.119598337,0.420928628,0.34440927,232.1428571,-0.024762098,1.13,0.053078443
KOA,P,shrimp,Amb,0% loss,0.009456782,0.893224756,0.087591198,0.721272819,45.38461538,0.121306184,0.43,-0.366531544
KOB,P,shrimp,Amb,0% loss,0.010808293,0.267452714,0.271333735,0.781413359,122.2222222,0.200670695,0.52,-0.283996656
MX,P,crab,Amb,0% loss,0.164731905,-0.164284879,0.302588424,-0.723281962,200.1819836,-0.204794413,1,0
NC,A,shrimp,Amb,0% loss,0.024105263,-0.590330733,2.931782609,-0.135261043,44.58598726,-0.168622712,0.92,-0.036212173
OR,P,shrimp,Amb,0% loss,0.03080975,1.410280854,0.582204596,-0.001926817,88.37579618,-0.347625109,0.66,-0.180456064
QU,A,crab,Amb,0% loss,0.000398978,-1.010638511,0.0942751,0.268262144,32.42857143,-0.305149765,1.8,0.255272505
SD,P,crab,Amb,0% loss,0.108714286,1.052112183,1.239142857,0.605105867,5.314285714,-0.564213497,0.52,-0.283996656
SF,P,shrimp,Amb,0% loss,0.076674284,0.958297893,0.944448268,1.465275593,12.14285714,-0.78845736,0.44,-0.356547324
VA,A,shrimp,Amb,0% loss,0.008790283,-0.879529475,0.068383321,0.367057855,129.7763195,0.106059572,0.481,-0.317854924
WA,P,crab,Amb,0% loss,0.016863162,-0.496128195,0.304276998,0.23494929,21.82760737,0.00257533,1.3,0.113943352
BB,P,crab,Eighty,80% loss,0.178944958,0.212235089,0.501919183,-0.338159454,43.81802355,-0.339031419,1.146,0.059184618
CR,A,shrimp,Eighty,80% loss,0.001270983,0.758884903,0.184362018,0.832648415,25.88888889,0.488,0.576,-0.239577517
FI,A,shrimp,Eighty,80% loss,0.050148947,2.033563523,0.222210389,0.163399128,3.592592593,-0.629609631,1.705,0.231724383
FR,A,shrimp,Eighty,80% loss,0.093073404,-0.009936236,0.035892763,0.112627588,8.285714286,-0.950192284,7.623,0.88212592
NI,A,crab,Eighty,80% loss,0,0,0.330528074,0.471029137,252.8571429,0.132228461,0.695,-0.158015195
JN,P,shrimp,Eighty,80% loss,0.006173043,-0.735279335,0.198881664,-0.214547466,54.85714286,0.323021439,1.099,0.040997692
JS,P,shrimp,Eighty,80% loss,0.004049756,-0.597967415,0.33797205,-0.349203732,122.5925926,0.080168597,1.552,0.190891717
KOA,P,shrimp,Eighty,80% loss,0.006206805,0.60226979,0.062991751,0.720581112,371.8518519,0.032391496,0.504,-0.297569464
