Site,Basin ,Temp,Latitude,Trial,Location,Shoot.reduction,Plot,Taxon,Sizemm,Crust.biomass,Other.biomass,Total.biomass,Epiphyte.biomass,Starting.shoot.dens,Calc.shoot.dens,SiteSD,Status.tri,Status.bi
BB,P,14,38.4,2,Edge,50,1,Crab,20,0.079837139,0,0.079837139,0.466821886,91.85,45.925,High,1,1
BB,P,14,38.4,2,Edge,50,2,Crab,20,0.193537473,0.005244459,0.198781932,0.459090909,192.05,96.025,High,0,0
BB,P,14,38.4,2,Edge,50,3,Crab,20,0.120187562,0.020977295,0.141164857,0.703642384,334,167,High,1,1
BB,P,14,38.4,2,Edge,50,4,Crab,20,0.166055639,0.040974768,0.207030408,0.328282828,475.95,237.975,High,0,0
BB,P,14,38.4,2,Edge,50,5,Crab,20,0.21199095,0.008823529,0.22081448,0.217917676,317.3,158.65,High,1,1
BB,P,14,38.4,2,Edge,50,6,Crab,20,0.079343176,0.07244377,0.151786946,0.067857143,233.8,116.9,High,1,1
BB,P,14,38.4,2,Edge,50,7,Crab,20,0.203220106,0.293736501,0.496956607,0.122345804,116.9,58.45,High,0.5,0
BB,P,14,38.4,3,Edge,50,1,Crab,25,0.079837139,0,0.079837139,0.466821886,91.85,45.925,High,1,1
BB,P,14,38.4,3,Edge,50,2,Crab,20,0.193537473,0.005244459,0.198781932,0.459090909,192.05,96.025,High,0,0
BB,P,14,38.4,3,Edge,50,3,Crab,20,0.120187562,0.020977295,0.141164857,0.703642384,334,167,High,0,0
BB,P,14,38.4,3,Edge,50,4,Crab,20,0.166055639,0.040974768,0.207030408,0.328282828,475.95,237.975,High,1,1
BB,P,14,38.4,3,Edge,50,5,Crab,20,0.21199095,0.008823529,0.22081448,0.217917676,317.3,158.65,High,0,0
BB,P,14,38.4,3,Edge,50,6,Crab,15,0.079343176,0.07244377,0.151786946,0.067857143,233.8,116.9,High,1,1
BB,P,14,38.4,3,Edge,50,7,Crab,15,0.203220106,0.293736501,0.496956607,0.122345804,116.9,58.45,High,0,0
BB,P,14,38.4,4,Edge,50,1,Crab,20,0.079837139,0,0.079837139,0.466821886,91.85,45.925,High,1,1
BB,P,14,38.4,4,Edge,50,2,Crab,20,0.193537473,0.005244459,0.198781932,0.459090909,192.05,96.025,High,0,0
BB,P,14,38.4,4,Edge,50,3,Crab,20,0.120187562,0.020977295,0.141164857,0.703642384,334,167,High,1,1
BB,P,14,38.4,4,Edge,50,4,Crab,25,0.166055639,0.040974768,0.207030408,0.328282828,475.95,237.975,High,1,1
BB,P,14,38.4,4,Edge,50,5,Crab,20,0.21199095,0.008823529,0.22081448,0.217917676,317.3,158.65,High,0,0
BB,P,14,38.4,4,Edge,50,6,Crab,20,0.079343176,0.07244377,0.151786946,0.067857143,233.8,116.9,High,1,1
BB,P,14,38.4,4,Edge,50,7,Crab,15,0.203220106,0.293736501,0.496956607,0.122345804,116.9,58.45,High,0,0
BB,P,14,38.4,2,Edge,80,1,Crab,25,0.235064428,0.007679292,0.24274372,NA,200.4,40.08,High,1,1
BB,P,14,38.4,2,Edge,80,2,Crab,15,0.325347594,0.092192513,0.417540107,0.591928251,384.1,76.82,High,1,1
BB,P,14,38.4,2,Edge,80,3,Crab,15,0.158115359,0.001509054,0.159624413,0.274847307,217.1,43.42,High,0,0
BB,P,14,38.4,2,Edge,80,4,Crab,20,0.13235762,0.006363347,0.138720967,0.651960784,250.5,50.1,High,0,0
BB,P,14,38.4,2,Edge,80,5,Crab,15,0.126176545,0.028745866,0.154922412,0.221917808,317.3,63.46,High,0,0
BB,P,14,38.4,2,Edge,80,6,Crab,15,0.148605396,0.011141594,0.15974699,0.347161572,317.3,63.46,High,0,0
BB,P,14,38.4,2,Edge,80,7,Crab,15,0.211604655,0.015571218,0.227175873,0.419947507,392.45,78.49,High,1,1
BB,P,14,38.4,3,Edge,80,1,Crab,15,0.235064428,0.007679292,0.24274372,NA,200.4,40.08,High,1,1
BB,P,14,38.4,3,Edge,80,2,Crab,20,0.325347594,0.092192513,0.417540107,0.591928251,384.1,76.82,High,0,0
BB,P,14,38.4,3,Edge,80,3,Crab,20,0.158115359,0.001509054,0.159624413,0.274847307,217.1,43.42,High,0,0
BB,P,14,38.4,3,Edge,80,4,Crab,20,0.13235762,0.006363347,0.138720967,0.651960784,250.5,50.1,High,0,0
BB,P,14,38.4,3,Edge,80,5,Crab,15,0.126176545,0.028745866,0.154922412,0.221917808,317.3,63.46,High,1,1
BB,P,14,38.4,3,Edge,80,6,Crab,15,0.148605396,0.011141594,0.15974699,0.347161572,317.3,63.46,High,0,0
BB,P,14,38.4,3,Edge,80,7,Crab,15,0.211604655,0.015571218,0.227175873,0.419947507,392.45,78.49,High,NA,NA
BB,P,14,38.4,4,Edge,80,1,Crab,20,0.235064428,0.007679292,0.24274372,NA,200.4,40.08,High,0,0
BB,P,14,38.4,4,Edge,80,2,Crab,20,0.325347594,0.092192513,0.417540107,0.591928251,384.1,76.82,High,1,1
BB,P,14,38.4,4,Edge,80,3,Crab,25,0.158115359,0.001509054,0.159624413,0.274847307,217.1,43.42,High,1,1
BB,P,14,38.4,4,Edge,80,4,Crab,20,0.13235762,0.006363347,0.138720967,0.651960784,250.5,50.1,High,0,0
BB,P,14,38.4,4,Edge,80,5,Crab,20,0.126176545,0.028745866,0.154922412,0.221917808,317.3,63.46,High,1,1
BB,P,14,38.4,4,Edge,80,6,Crab,20,0.148605396,0.011141594,0.15974699,0.347161572,317.3,63.46,High,0,0
BB,P,14,38.4,4,Edge,80,7,Crab,20,0.211604655,0.015571218,0.227175873,0.419947507,392.45,78.49,High,0,0
BB,P,14,38.4,2,Edge,Amb,1,Crab,33,0.116883117,0.025186934,0.142070051,0.586385179,242.15,242.15,High,1,1
BB,P,14,38.4,2,Edge,Amb,2,Crab,15,0.102134146,0.015478424,0.11761257,0.511473963,125.25,125.25,High,0,0
BB,P,14,38.4,2,Edge,Amb,3,Crab,20,0.26774043,0.008520075,0.276260504,0.303974221,133.6,133.6,High,1,1
BB,P,14,38.4,2,Edge,Amb,4,Crab,15,0.295334295,0.011063011,0.306397306,0.562030075,334,334,High,0,0
BB,P,14,38.4,2,Edge,Amb,5,Crab,20,0.170773152,0.020249221,0.191022373,0.397350993,133.6,133.6,High,0,0
BB,P,14,38.4,2,Edge,Amb,6,Crab,15,0.119387452,0.008920607,0.128308058,0.490781945,292.25,292.25,High,1,1
BB,P,14,38.4,2,Edge,Amb,7,Crab,15,0.180362117,0.069637883,0.25,0.661437908,342.35,342.35,High,1,1
BB,P,14,38.4,3,Edge,Amb,1,Crab,20,0.116883117,0.025186934,0.142070051,0.586385179,242.15,242.15,High,0,0
BB,P,14,38.4,3,Edge,Amb,2,Crab,20,0.102134146,0.015478424,0.11761257,0.511473963,125.25,125.25,High,1,1
BB,P,14,38.4,3,Edge,Amb,3,Crab,15,0.26774043,0.008520075,0.276260504,0.303974221,133.6,133.6,High,1,1
BB,P,14,38.4,3,Edge,Amb,4,Crab,15,0.295334295,0.011063011,0.306397306,0.562030075,334,334,High,1,1
BB,P,14,38.4,3,Edge,Amb,5,Crab,15,0.170773152,0.020249221,0.191022373,0.397350993,133.6,133.6,High,1,1
BB,P,14,38.4,3,Edge,Amb,6,Crab,15,0.119387452,0.008920607,0.128308058,0.490781945,292.25,292.25,High,1,1
BB,P,14,38.4,3,Edge,Amb,7,Crab,20,0.180362117,0.069637883,0.25,0.661437908,342.35,342.35,High,0,0
BB,P,14,38.4,4,Edge,Amb,1,Crab,20,0.116883117,0.025186934,0.142070051,0.586385179,242.15,242.15,High,1,1
BB,P,14,38.4,4,Edge,Amb,2,Crab,25,0.102134146,0.015478424,0.11761257,0.511473963,125.25,125.25,High,1,1
BB,P,14,38.4,4,Edge,Amb,3,Crab,25,0.26774043,0.008520075,0.276260504,0.303974221,133.6,133.6,High,0,0
BB,P,14,38.4,4,Edge,Amb,4,Crab,25,0.295334295,0.011063011,0.306397306,0.562030075,334,334,High,0,0
BB,P,14,38.4,4,Edge,Amb,5,Crab,25,0.170773152,0.020249221,0.191022373,0.397350993,133.6,133.6,High,0,0
BB,P,14,38.4,4,Edge,Amb,6,Crab,20,0.119387452,0.008920607,0.128308058,0.490781945,292.25,292.25,High,0,0
BB,P,14,38.4,4,Edge,Amb,7,Crab,25,0.180362117,0.069637883,0.25,0.661437908,342.35,342.35,High,0,0
BB,P,14,38.4,2,Interior,50,8,Crab,15,0.184409147,0.013630731,0.198039878,0.402242467,242.15,121.075,High,1,1
BB,P,14,38.4,2,Interior,50,9,Crab,15,0.016877178,0.094294425,0.111171603,0.425490196,250.5,125.25,High,0.5,0
BB,P,14,38.4,2,Interior,50,10,Crab,15,0.04626506,0.019180723,0.065445783,NA,208.75,104.375,High,1,1
BB,P,14,38.4,2,Interior,50,11,Crab,15,0.182295082,0.015081967,0.197377049,0.311006042,225.45,112.725,High,0.5,0
BB,P,14,38.4,2,Interior,50,12,Crab,15,0.051634724,0.104396843,0.156031567,0.248871919,175.35,87.675,High,1,1
BB,P,14,38.4,2,Interior,50,13,Crab,15,0.1177404,0.076007617,0.193748017,0.539030956,308.95,154.475,High,0,0
BB,P,14,38.4,2,Interior,50,14,Crab,20,0.016676142,0.168087929,0.18476407,0.139958013,334,167,High,0.5,0
BB,P,14,38.4,3,Interior,50,8,Crab,20,0.184409147,0.013630731,0.198039878,0.402242467,242.15,121.075,High,0,0
BB,P,14,38.4,3,Interior,50,9,Crab,20,0.016877178,0.094294425,0.111171603,0.425490196,250.5,125.25,High,0,0
BB,P,14,38.4,3,Interior,50,10,Crab,15,0.04626506,0.019180723,0.065445783,NA,208.75,104.375,High,1,1
BB,P,14,38.4,3,Interior,50,11,Crab,20,0.182295082,0.015081967,0.197377049,0.311006042,225.45,112.725,High,0,0
BB,P,14,38.4,3,Interior,50,12,Crab,20,0.051634724,0.104396843,0.156031567,0.248871919,175.35,87.675,High,0,0
BB,P,14,38.4,3,Interior,50,13,Crab,25,0.1177404,0.076007617,0.193748017,0.539030956,308.95,154.475,High,0,0
BB,P,14,38.4,3,Interior,50,14,Crab,25,0.016676142,0.168087929,0.18476407,0.139958013,334,167,High,0,0
BB,P,14,38.4,4,Interior,50,8,Crab,20,0.184409147,0.013630731,0.198039878,0.402242467,242.15,121.075,High,0,0
BB,P,14,38.4,4,Interior,50,9,Crab,20,0.016877178,0.094294425,0.111171603,0.425490196,250.5,125.25,High,0,0
BB,P,14,38.4,4,Interior,50,10,Crab,20,0.04626506,0.019180723,0.065445783,NA,208.75,104.375,High,0,0
BB,P,14,38.4,4,Interior,50,11,Crab,20,0.182295082,0.015081967,0.197377049,0.311006042,225.45,112.725,High,0,0
